,date,temp,precipitation,windspeed
552,1996-01-01,26.1,1.693,12.9
553,1996-02-01,28.8,1.575,11.5
554,1996-03-01,31.6,1.969,11.4
555,1996-04-01,46.4,4.449,11.6
556,1996-05-01,57.4,1.969,9.8
557,1996-06-01,69.3,3.74,7.9
558,1996-07-01,70.5,2.835,8.6
559,1996-08-01,71.4,1.378,6.2
560,1996-09-01,64.0,11.102,9.4
561,1996-10-01,54.1,4.173,10.5
562,1996-11-01,36.5,4.213,9.8
563,1996-12-01,34.9,1.417,10.6
564,1997-01-01,25.3,1.811,13.2
565,1997-02-01,34.3,2.992,11.6
566,1997-03-01,39.0,3.11,12.6
567,1997-04-01,45.7,2.126,9.4
568,1997-05-01,53.2,3.78,11.6
569,1997-06-01,68.5,3.543,8.5
570,1997-07-01,71.4,1.496,7.8
571,1997-08-01,67.8,5.26,7.7
572,1997-09-01,63.0,4.256,8.6
573,1997-10-01,53.2,1.63,8.9
574,1997-11-01,39.6,2.587,10.3
575,1997-12-01,33.6,2.417,9.8
576,1998-01-01,35.2,3.929,9.8
577,1998-02-01,37.2,1.89,9.6
578,1998-03-01,41.4,3.26,12.1
579,1998-04-01,49.5,6.063,9.5
580,1998-05-01,64.6,1.925,8.1
581,1998-06-01,68.7,2.98,8.5
582,1998-07-01,71.6,2.72,7.6
583,1998-08-01,72.3,3.02,7.1
584,1998-09-01,67.3,1.201,8.1
585,1998-10-01,53.8,2.362,8.3
586,1998-11-01,45.1,1.594,10.9
587,1998-12-01,37.2,1.925,10.1
588,1999-01-01,27.3,3.638,12.2
589,1999-02-01,34.9,2.358,11.0
590,1999-03-01,34.7,1.646,11.5
591,1999-04-01,50.5,3.89,10.6
592,1999-05-01,61.3,1.547,9.1
593,1999-06-01,70.3,1.433,8.5
594,1999-07-01,76.5,4.665,8.4
595,1999-08-01,69.4,1.803,8.3
596,1999-09-01,65.1,1.941,8.1
597,1999-10-01,52.7,3.059,9.8
598,1999-11-01,46.0,3.311,10.6
599,1999-12-01,34.0,2.709,10.9
600,2000-01-01,27.0,2.642,11.4
601,2000-02-01,34.5,2.059,10.4
602,2000-03-01,43.3,1.575,10.7
603,2000-04-01,47.3,3.732,8.9
604,2000-05-01,61.7,5.465,9.6
605,2000-06-01,68.9,5.724,9.3
606,2000-07-01,68.4,2.579,7.5
607,2000-08-01,69.1,4.724,7.7
608,2000-09-01,63.3,3.295,9.5
609,2000-10-01,55.0,3.567,7.5
610,2000-11-01,39.9,2.551,10.1
611,2000-12-01,22.3,2.764,11.1
612,2001-01-01,27.9,1.594,9.9
613,2001-02-01,32.4,1.638,11.4
614,2001-03-01,34.2,2.425,10.3
615,2001-04-01,51.6,2.331,10.2
616,2001-05-01,60.3,3.839,8.9
617,2001-06-01,68.2,3.957,7.3
618,2001-07-01,72.1,0.685,8.2
619,2001-08-01,72.7,3.315,7.6
620,2001-09-01,61.5,3.898,8.6
621,2001-10-01,54.7,5.563,11.7
622,2001-11-01,48.9,2.618,10.0
623,2001-12-01,37.4,2.535,10.6
624,2002-01-01,34.9,2.209,11.0
625,2002-02-01,34.2,2.433,12.2
626,2002-03-01,37.8,4.134,11.7
627,2002-04-01,50.7,3.673,10.2
628,2002-05-01,55.9,5.783,9.6
629,2002-06-01,70.7,0.921,8.1
630,2002-07-01,75.6,2.874,8.3
631,2002-08-01,73.9,2.004,8.1
632,2002-09-01,68.9,3.5,7.8
633,2002-10-01,52.0,1.52,8.5
634,2002-11-01,41.5,3.65,11.4
635,2002-12-01,30.9,3.713,11.3
636,2003-01-01,21.4,1.98,11.6
637,2003-02-01,24.8,2.748,11.0
638,2003-03-01,39.0,2.335,9.6
639,2003-04-01,49.1,2.469,10.9
640,2003-05-01,58.1,6.496,9.7
641,2003-06-01,67.1,3.165,8.1
642,2003-07-01,72.7,4.886,7.8
643,2003-08-01,73.4,1.961,7.1
644,2003-09-01,64.0,6.024,8.3
645,2003-10-01,51.4,2.862,8.8
646,2003-11-01,48.0,3.583,10.9
647,2003-12-01,33.8,4.008,11.4
648,2004-01-01,21.9,2.693,11.6
649,2004-02-01,30.0,0.768,9.4
650,2004-03-01,40.6,4.823,10.4
651,2004-04-01,49.3,3.74,11.2
652,2004-05-01,62.4,5.902,9.4
653,2004-06-01,67.1,2.882,8.5
654,2004-07-01,71.6,2.882,8.5
655,2004-08-01,68.4,2.465,7.8
656,2004-09-01,66.2,3.22,7.9
657,2004-10-01,53.8,2.339,8.6
658,2004-11-01,44.6,3.248,9.4
659,2004-12-01,31.3,4.472,11.5
660,2005-01-01,27.7,5.894,10.1
661,2005-02-01,31.1,2.075,8.9
662,2005-03-01,32.7,1.654,9.9
663,2005-04-01,49.1,5.579,10.8
664,2005-05-01,55.4,1.437,8.5
665,2005-06-01,73.9,1.642,8.5
666,2005-07-01,75.4,3.24,7.6
667,2005-08-01,74.1,7.61,7.8
668,2005-09-01,67.3,3.551,7.6
669,2005-10-01,54.5,2.539,8.5
670,2005-11-01,44.8,2.657,13.0
